,CalendarClass,Position,Specific_lr,Type_calendar,PICP_mean,MPIW_mean,mean_last_train_loss,std_of_lasts_train_loss,mean_last_valid_loss,std_of_lasts_valid_loss,best_mean_train_loss,std_of_best_mean_train_loss,best_mean_valid_loss,std_of_best_mean_valid_loss
0,1,input,True,tuple,0.13681486248970032,-0.0342998206615448,0.23653241991996765,0.12187635153532028,0.21508102118968964,0.12187635153532028,0.23653241991996765,0.12187635153532028,0.21508102118968964,0.09901078045368195
1,1,input,True,unique_long_embedding,0.1517893522977829,-0.04399695619940758,0.26079073548316956,0.10323291271924973,0.23975910246372223,0.10323291271924973,0.26079073548316956,0.10323291271924973,0.23975910246372223,0.09730485081672668
2,1,input,False,tuple,0.1004810482263565,-0.06238698959350586,0.22682254016399384,0.09472363442182541,0.21635453402996063,0.09472363442182541,0.22682254016399384,0.09472363442182541,0.21635453402996063,0.11536862701177597
3,1,input,False,unique_long_embedding,0.29374998807907104,0.1416652500629425,0.18714193999767303,0.0843597948551178,0.1765374094247818,0.0843597948551178,0.18714193999767303,0.0843597948551178,0.1765374094247818,0.11666879802942276
4,1,output,True,tuple,0.3494897782802582,0.16157831251621246,0.18927118182182312,0.10387483984231949,0.14076992869377136,0.10387483984231949,0.18927118182182312,0.10387483984231949,0.14076992869377136,0.11988178640604019
5,1,output,True,unique_long_embedding,0.08362974226474762,-0.027184028178453445,0.23841679096221924,0.11085116118192673,0.20778866112232208,0.11085116118192673,0.23841679096221924,0.11085116118192673,0.20778866112232208,0.09169324487447739
6,1,output,False,tuple,0.17659255862236023,-0.028056902810931206,0.28209903836250305,0.14905360341072083,0.26426735520362854,0.14905360341072083,0.28209903836250305,0.14905360341072083,0.26426735520362854,0.1291576474905014
7,1,output,False,unique_long_embedding,0.11037535965442657,0.05480504035949707,0.26143044233322144,0.10156958550214767,0.24507415294647217,0.10156958550214767,0.26143044233322144,0.10156958550214767,0.24507415294647217,0.09531954675912857
8,2,input,True,tuple,0.2077842503786087,0.0858292430639267,0.23760125041007996,0.1112590879201889,0.2160353660583496,0.1112590879201889,0.23760125041007996,0.1112590879201889,0.2160353660583496,0.11327993124723434
9,2,input,True,unique_long_embedding,0.22066326439380646,0.10622215270996094,0.18982040882110596,0.08842775970697403,0.17104747891426086,0.08842775970697403,0.18982040882110596,0.08842775970697403,0.17104747891426086,0.0805252268910408
10,2,input,False,tuple,0.09455174952745438,-0.026389049366116524,0.23196890950202942,0.07663564383983612,0.2160062938928604,0.07663564383983612,0.23196890950202942,0.07663564383983612,0.2160062938928604,0.06806604564189911
11,2,input,False,unique_long_embedding,0.06724853813648224,-0.14778386056423187,0.3130779266357422,0.11733823269605637,0.2963410019874573,0.11733823269605637,0.3130779266357422,0.11733823269605637,0.2963410019874573,0.09822000563144684
12,2,output,True,tuple,0.3111734390258789,0.155840665102005,0.2856278717517853,0.1334298998117447,0.21683333814144135,0.1334298998117447,0.2856278717517853,0.1334298998117447,0.21683333814144135,0.18927712738513947
13,2,output,True,unique_long_embedding,0.3160422742366791,0.15180666744709015,0.21002140641212463,0.10926778614521027,0.19112642109394073,0.10926778614521027,0.21002140641212463,0.10926778614521027,0.19112642109394073,0.11860112845897675
14,2,output,False,tuple,0.14831268787384033,-0.04216555505990982,0.29118436574935913,0.14298377931118011,0.269729882478714,0.14298377931118011,0.29118436574935913,0.14298377931118011,0.269729882478714,0.1369800567626953
15,2,output,False,unique_long_embedding,0.1885932981967926,0.05557243153452873,0.17801795899868011,0.09611527621746063,0.17235524952411652,0.09611527621746063,0.17801795899868011,0.09611527621746063,0.17235524952411652,0.1405428647994995
16,3,input,True,tuple,0.16617347300052643,0.021784033626317978,0.2549920082092285,0.0978117287158966,0.2311343401670456,0.0978117287158966,0.2549920082092285,0.0978117287158966,0.2311343401670456,0.0856015533208847
17,3,input,True,unique_long_embedding,0.17532800137996674,-0.08060021698474884,0.2620754539966583,0.16434244811534882,0.24605222046375275,0.16434244811534882,0.2620754539966583,0.16434244811534882,0.24605222046375275,0.2091609388589859
18,3,input,False,tuple,0.3146282732486725,0.15285877883434296,0.18517227470874786,0.12014294415712357,0.17154529690742493,0.12014294415712357,0.18517227470874786,0.12014294415712357,0.17154529690742493,0.139992356300354
19,3,input,False,unique_long_embedding,0.021559765562415123,-0.1352522224187851,0.2941179573535919,0.1193036288022995,0.27839332818984985,0.1193036288022995,0.2941179573535919,0.1193036288022995,0.27839332818984985,0.13556675612926483
20,3,output,True,tuple,0.3144569993019104,0.20746715366840363,0.21808142960071564,0.14225634932518005,0.16902709007263184,0.14225634932518005,0.21808142960071564,0.14225634932518005,0.16902709007263184,0.1296834945678711
21,3,output,True,unique_long_embedding,0.15611150860786438,-0.006256484892219305,0.22984658181667328,0.13349956274032593,0.20878411829471588,0.13349956274032593,0.22984658181667328,0.13349956274032593,0.20878411829471588,0.16364014148712158
22,3,output,False,tuple,0.09302113950252533,6.0568963817786425e-05,0.2530399262905121,0.10019303858280182,0.23389533162117004,0.10019303858280182,0.2530399262905121,0.10019303858280182,0.23389533162117004,0.09731380641460419
23,3,output,False,unique_long_embedding,0.3557215631008148,0.12771837413311005,0.1966170072555542,0.12169419229030609,0.1858626753091812,0.12169419229030609,0.1966170072555542,0.12169419229030609,0.1858626753091812,0.158243790268898
