,mse,mase,mae,mape,fold,id,trial_num
0,1365.452880859375,0.7591690421104431,21.565752029418945,43.34938049316406,0,Apple_Video,2
0,1329.7733154296875,0.7275213599205017,21.96095848083496,36.96797180175781,1,Apple_Video,2
0,1264.973876953125,0.65981125831604,20.838891983032227,30.04118537902832,2,Apple_Video,2
0,1233.3271484375,0.6455166339874268,20.74734115600586,29.11309242248535,3,Apple_Video,2
0,1296.28515625,0.6452755331993103,20.662750244140625,28.951358795166016,4,Apple_Video,2
0,1334.3665771484375,0.7449057698249817,21.164426803588867,36.41929244995117,0,Google_Play_Store,2
0,1394.5286865234375,0.7424669861793518,22.4112491607666,38.46111297607422,1,Google_Play_Store,2
0,1239.577880859375,0.6551313400268555,20.688777923583984,29.24981689453125,2,Google_Play_Store,2
0,1203.1580810546875,0.6315995454788208,20.307781219482422,28.919679641723633,3,Google_Play_Store,2
0,1281.2451171875,0.6417111754417419,20.55358123779297,27.72366714477539,4,Google_Play_Store,2
0,1506.724853515625,0.8160894513130188,23.176429748535156,42.91562271118164,0,Google_Maps,2
0,1570.251953125,0.8346425294876099,25.190650939941406,49.55205535888672,1,Google_Maps,2
0,1361.908203125,0.6770731806755066,21.38309097290039,29.552913665771484,2,Google_Maps,2
0,1276.115478515625,0.6655527949333191,21.39386558532715,31.419998168945312,3,Google_Maps,2
0,1319.977294921875,0.6471148133277893,20.723398208618164,26.81007957458496,4,Google_Maps,2
0,1403.31201171875,0.780565619468689,22.17457389831543,38.66740036010742,0,Web_Clothes,2
0,1456.91064453125,0.764401376247406,23.074626922607422,39.47081756591797,1,Web_Clothes,2
0,1309.4521484375,0.6641760468482971,20.975173950195312,27.88813018798828,2,Web_Clothes,2
0,1167.7010498046875,0.6271218657493591,20.149816513061523,27.69881248474121,3,Web_Clothes,2
0,1305.2235107421875,0.6438179612159729,20.616426467895508,27.022239685058594,4,Web_Clothes,2
0,1324.140625,0.7356271147727966,20.895902633666992,36.50019454956055,0,Uber,2
0,1364.1556396484375,0.7397922277450562,22.32896614074707,37.13493728637695,1,Uber,2
0,1398.8189697265625,0.6924836039543152,21.86905288696289,30.349519729614258,2,Uber,2
0,1278.01025390625,0.6463159322738647,20.767559051513672,27.795207977294922,3,Uber,2
0,1434.9512939453125,0.6600565910339355,21.135456085205078,28.29047203063965,4,Uber,2
0,1378.555908203125,0.7685031890869141,21.82921028137207,35.989559173583984,0,Twitter,2
0,1508.0419921875,0.8061509728431702,24.331146240234375,48.559669494628906,1,Twitter,2
0,1350.166748046875,0.6885103583335876,21.742015838623047,30.96240997314453,2,Twitter,2
0,1226.7220458984375,0.6440229415893555,20.699329376220703,28.06521987915039,3,Twitter,2
0,1298.82958984375,0.6461261510848999,20.692363739013672,27.121841430664062,4,Twitter,2
0,1349.0321044921875,0.7615037560462952,21.63260841369629,40.63541030883789,0,Microsoft_Mail,2
0,1484.7286376953125,0.7925733923912048,23.92101287841797,45.853702545166016,1,Microsoft_Mail,2
0,1326.7469482421875,0.6628028154373169,20.93545150756836,30.25566864013672,2,Microsoft_Mail,2
0,1274.7806396484375,0.6576541662216187,21.13188934326172,36.36809158325195,3,Microsoft_Mail,2
0,1421.784423828125,0.6783691644668579,21.7198543548584,32.92144775390625,4,Microsoft_Mail,2
0,1262.6798095703125,0.7287359833717346,20.700197219848633,38.271026611328125,0,Microsoft_Store,2
0,1391.7222900390625,0.7348778247833252,22.18682098388672,33.8936653137207,1,Microsoft_Store,2
0,1266.651123046875,0.6643209457397461,20.978620529174805,29.29169464111328,2,Microsoft_Store,2
0,1172.749755859375,0.6290420889854431,20.21146583557129,28.62636375427246,3,Microsoft_Store,2
0,1287.0040283203125,0.6508576273918152,20.842788696289062,32.47991943359375,4,Microsoft_Store,2
0,1264.59423828125,0.7374427914619446,20.946306228637695,43.59696578979492,0,Apple_Music,2
0,1360.050537109375,0.7298120856285095,22.0285701751709,36.3970832824707,1,Apple_Music,2
0,1308.8626708984375,0.6713717579841614,21.202280044555664,33.823246002197266,2,Apple_Music,2
0,1219.2308349609375,0.6376200318336487,20.4853458404541,27.67558479309082,3,Apple_Music,2
0,1285.795166015625,0.6386436223983765,20.452329635620117,27.429473876953125,4,Apple_Music,2
0,1397.7022705078125,0.7668609619140625,21.787431716918945,39.629119873046875,0,Microsoft_Office,2
0,1517.0489501953125,0.7784647941589355,23.498523712158203,41.76555252075195,1,Microsoft_Office,2
0,1320.6485595703125,0.6640433073043823,20.97261619567871,28.85063362121582,2,Microsoft_Office,2
0,1248.12890625,0.6371648907661438,20.476219177246094,27.83260726928711,3,Microsoft_Office,2
0,1326.37744140625,0.6565209627151489,21.02545166015625,29.278350830078125,4,Microsoft_Office,2
0,1443.0557861328125,0.795954704284668,22.6058406829834,47.913612365722656,0,Pokemon_GO,2
0,1473.40234375,0.774547278881073,23.37712287902832,41.076438903808594,1,Pokemon_GO,2
0,1282.4168701171875,0.6649121642112732,20.998029708862305,30.01461410522461,2,Pokemon_GO,2
0,1161.4185791015625,0.621629536151886,19.972986221313477,26.948610305786133,3,Pokemon_GO,2
0,1287.9705810546875,0.6549056172370911,20.968334197998047,31.51519012451172,4,Pokemon_GO,2
0,1390.24560546875,0.7688300013542175,21.83642578125,36.87709426879883,0,Clash_of_Clans,2
0,1469.998291015625,0.754996657371521,22.78639030456543,36.699459075927734,1,Clash_of_Clans,2
0,1425.7620849609375,0.7054829597473145,22.27686309814453,31.468605041503906,2,Clash_of_Clans,2
0,1216.968505859375,0.6392089128494263,20.53856658935547,27.01363182067871,3,Clash_of_Clans,2
0,1324.28125,0.6465272903442383,20.699670791625977,26.70747947692871,4,Clash_of_Clans,2
0,1398.0474853515625,0.7703949809074402,21.88044548034668,41.028751373291016,0,Yahoo_Mail,2
0,1283.4453125,0.7021838426589966,21.195005416870117,33.71829605102539,1,Yahoo_Mail,2
0,1320.2841796875,0.6691377758979797,21.131763458251953,28.5762882232666,2,Yahoo_Mail,2
